id,brand,department,latitude,longitude,country
1,"Macejkovic, Donnelly and Prohaska",Marketing,48.5308416,1.4534246000000002,FR
2,Weber-Roberts,Marketing,49.189451,-0.8049350000000001,FR
3,Krajcik and Sons,Business Development,43.0429124,1.9038837,FR
4,"Konopelski, Schmeler and Jacobs",Human Resources,48.7037515,2.3056035,FR
5,Lakin LLC,Services,45.601784,5.131041000000001,FR
6,Champlin-Buckridge,Accounting,47.785421,-3.2602564,FR
7,"Lemke, Roberts and Koss",Human Resources,47.389214200000005,0.6942885,FR
8,Stamm and Sons,Legal,44.539432399999995,3.5333133,FR
9,Robel and Sons,Support,42.3233666,-7.858556200000001,ES
10,Gutkowski-Ebert,Engineering,48.360695799999995,-0.27170720000000004,FR
11,"Murray, Bode and Schaefer",Sales,45.052484,4.8398662,FR
12,Jacobi-Kertzmann,Business Development,44.8870215,3.883654,FR
13,Beier-Ullrich,Marketing,,,FR
14,Dickinson-Parisian,Research and Development,48.8981844,2.2478659,FR
15,Eichmann-Haley,Engineering,48.846652299999995,2.2582125,FR
16,"Altenwerth, Romaguera and Schmidt",Legal,44.1372925,4.810107,FR
17,Kulas LLC,Product Management,45.8359543,5.0634248,FR
18,Ebert-Breitenberg,Business Development,49.25362,6.1641699999999995,FR
19,Abbott Inc,Accounting,45.1800316,0.7237613,FR
20,Nader-Marks,Support,43.7441795,2.5119990000000003,FR
21,Keeling Inc,Product Management,45.288656,4.65065,FR
22,"Ondricka, Corkery and Rice",Human Resources,46.1839042,-0.4738335,FR
23,Reynolds Group,Engineering,48.890054,2.2372792,FR
24,Goldner-Jacobi,Support,48.846652299999995,2.2582125,FR
25,"Wiza, Breitenberg and Hudson",Services,47.4947984,1.2613018,FR
26,Kertzmann-Goyette,Marketing,,,FR
27,Herman Group,Support,48.7276331,2.281825,FR
28,Heller-Labadie,Business Development,47.5868157,1.3305566999999998,FR
29,Herman Inc,Human Resources,46.771347799999994,3.8379578000000003,FR
30,Kihn-Toy,Sales,45.1721845,5.7078052,FR
31,Bernhard-Kris,Marketing,45.9018536,6.121072,FR
32,Legros-Gulgowski,Human Resources,48.5347071,7.6370168000000005,FR
